PG.Genes	PG.ProteinAccessions	PG.ProteinDescriptions	PG.ProteinNames	PG.Qvalue	gene_id	gene_chr	gene_start_hg38	gene_end_hg38	strand
AARSD1	Q9BTE6	Alanyl-tRNA editing protein Aarsd1	AASD1_HUMAN	1.52e-06	80755	17	42950526	42964498	-
AASDHPPT	Q9NRN7	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	ADPPT_HUMAN	6.5e-10	60496	11	106077565	106098692	+
AASS	Q9UDR5	"Alpha-aminoadipic semialdehyde synthase, mitochondrial"	AASS_HUMAN	3.19e-08	10157	7	122073544	122144290	-
ABCA12	Q86UK0	Glucosylceramide transporter ABCA12	ABCAC_HUMAN	0.000145671	26154	2	214931542	215138580	-
ABCA6	Q8N139	ATP-binding cassette sub-family A member 6	ABCA6_HUMAN	2.2e-09	23460	17	69078089	69141992	-
ABCA8	O94911	ABC-type organic anion transporter ABCA8	ABCA8_HUMAN	3.27e-09	10351	17	68867287	68955408	-
ABCB10	Q9NRK6	"ATP-binding cassette sub-family B member 10, mitochondrial"	ABCBA_HUMAN	0.000482758	23456	1	229516582	229558695	-
ABCB6	Q9NP58	ATP-binding cassette sub-family B member 6	ABCB6_HUMAN	1.29e-18	10058	2	219209766	219218990	-
ABCB7	O75027	"Iron-sulfur clusters transporter ABCB7, mitochondrial"	ABCB7_HUMAN	0.000181784	22	X	75053172	75156340	-
ABCB8	Q9NUT2	Mitochondrial potassium channel ATP-binding subunit	MITOS_HUMAN	0.005853812	11194	7	151028422	151047782	+
ABCB9	Q9NP78	ABC-type oligopeptide transporter ABCB9	ABCB9_HUMAN	0.000853725	23457	12	122918708	122975125	-
ABCC1	P33527	Multidrug resistance-associated protein 1	MRP1_HUMAN	6.08e-08	4363	16	15949577	16143074	+
ABCC4	O15439	ATP-binding cassette sub-family C member 4	MRP4_HUMAN	0.00013097	10257	13	95019829	95301446	-
ABCD1	P33897	ATP-binding cassette sub-family D member 1	ABCD1_HUMAN	0.000503063	215	X	153724851	153744762	+
ABCD3	P28288	ATP-binding cassette sub-family D member 3	ABCD3_HUMAN	2.03e-13	5825	1	94418086	94518663	+
ABCE1	P61221	ATP-binding cassette sub-family E member 1	ABCE1_HUMAN	6.99e-22	6059	4	145098004	145129524	+
ABCF1	Q8NE71	ATP-binding cassette sub-family F member 1	ABCF1_HUMAN	4.25e-14	23	6	30571393	30591532	+
ABCF2	Q9UG63	ATP-binding cassette sub-family F member 2	ABCF2_HUMAN	3.29e-11	10061	7	151207830	151227374	-
ABCF3	Q9NUQ8	ATP-binding cassette sub-family F member 3	ABCF3_HUMAN	6.23e-08	55324	3	184186075	184194452	+
ABHD10	Q9NUJ1	"Palmitoyl-protein thioesterase ABHD10, mitochondrial"	ABHDA_HUMAN	1.58e-09	55347	3	111978876	111993368	+
ABHD11	Q8NFV4	Protein ABHD11	ABHDB_HUMAN	7.45e-23	83451	7	73736094	73738885	-
ABHD12	Q8N2K0	Lysophosphatidylserine lipase ABHD12	ABD12_HUMAN	4.93e-05	26090	20	25294743	25390982	-
ABHD14B	Q96IU4	Protein ABHD14B	ABHEB_HUMAN	3.8e-21	84836	3	51968510	51974630	-
ABHD16A	O95870	Phosphatidylserine lipase ABHD16A	ABHGA_HUMAN	4.32e-17	7920	6	31686949	31703360	-
ABHD5	Q8WTS1	1-acylglycerol-3-phosphate O-acyltransferase ABHD5	ABHD5_HUMAN	7.85e-12	51099	3	43690883	43722725	+
ABHD6	Q9BV23	Monoacylglycerol lipase ABHD6	ABHD6_HUMAN	1.02e-11	57406	3	58237506	58294738	+
ABI1	Q8IZP0	Abl interactor 1	ABI1_HUMAN	5.17e-12	10006	10	26746596	26861087	-
ABI2	Q9NYB9	Abl interactor 2	ABI2_HUMAN	2.31e-09	10152	2	203327874	203432173	+
ABI3	Q9P2A4	ABI gene family member 3	ABI3_HUMAN	0.007342003	51225	17	49210227	49223225	+
ABI3BP	Q7Z7G0	Target of Nesh-SH3	TARSH_HUMAN	1.13e-10	25890	3	100749335	100993493	-
ABLIM1	O14639	Actin-binding LIM protein 1	ABLM1_HUMAN	5.38e-21	3983	10	114431110	114821643	-
ABLIM2	Q6H8Q1	Actin-binding LIM protein 2	ABLM2_HUMAN	0.000353904	84448	4	7965310	8158832	-
ABR	Q12979	Active breakpoint cluster region-related protein	ABR_HUMAN	2.83e-06	29	17	1003518	1187322	-
ABRACL	Q9P1F3	Costars family protein ABRACL	ABRAL_HUMAN	0.000341345	58527	6	139028682	139043302	+
ABRAXAS2	Q15018	BRISC complex subunit Abraxas 2	ABRX2_HUMAN	2.71e-06					
ACAA1	P09110	"3-ketoacyl-CoA thiolase, peroxisomal"	THIK_HUMAN	6.44e-13	30	3	38122710	38137242	-
ACAA2	P42765	"3-ketoacyl-CoA thiolase, mitochondrial"	THIM_HUMAN	9.53e-16	10449	18	49783504	49813881	-
ACACA	Q13085	Acetyl-CoA carboxylase 1	ACACA_HUMAN	1.01e-05	31	17	37084992	37406822	-
ACACB	O00763	Acetyl-CoA carboxylase 2	ACACB_HUMAN	3.79e-23	32	12	109111184	109268226	+
ACAD11	Q709F0	Acyl-CoA dehydrogenase family member 11	ACD11_HUMAN	0.00337405	84129	3	132558138	132660131	-
ACAD8	Q9UKU7	"Isobutyryl-CoA dehydrogenase, mitochondrial"	ACAD8_HUMAN	1.43e-10	27034	11	134253537	134265944	+
ACAD9	Q9H845	"Complex I assembly factor ACAD9, mitochondrial"	ACAD9_HUMAN	2.22e-16	28976	3	128879490	128913114	+
ACADM	P11310	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"	ACADM_HUMAN	6.22e-20	34	1	75724347	75763679	+
ACADS	P16219	"Short-chain specific acyl-CoA dehydrogenase, mitochondrial"	ACADS_HUMAN	1.8e-17	35	12	120725738	120740008	+
ACADSB	P45954	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"	ACDSB_HUMAN	3.79e-23	36	10	123008913	123058290	+
ACADVL	P49748	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"	ACADV_HUMAN	3.19e-20	37	17	7217125	7225267	+
ACAN	P16112	Aggrecan core protein	PGCA_HUMAN	0.000201167	176	15	88803442	88875354	+
ACAP1	Q15027	"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1"	ACAP1_HUMAN	2.96e-09	9744	17	7336511	7351478	+
ACAP2	Q15057	"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"	ACAP2_HUMAN	2.67e-12	23527	3	195274736	195443176	-
ACAT1	P24752	"Acetyl-CoA acetyltransferase, mitochondrial"	THIL_HUMAN	3.79e-23	38	11	108121531	108148168	+
ACAT2	Q9BWD1	"Acetyl-CoA acetyltransferase, cytosolic"	THIC_HUMAN	1.62e-06	39	6	159761957	159779112	+
ACBD3	Q9H3P7	Golgi resident protein GCP60	GCP60_HUMAN	4.69e-11	64746	1	226144679	226186722	-
ACBD5	Q5T8D3	Acyl-CoA-binding domain-containing protein 5	ACBD5_HUMAN	8.75e-05	91452	10	27195214	27242139	-
ACE	P12821	Angiotensin-converting enzyme	ACE_HUMAN	7.96e-07	1636	17	63477061	63498380	+
ACIN1	Q9UKV3	Apoptotic chromatin condensation inducer in the nucleus	ACINU_HUMAN	2.77e-14	22985	14	23058564	23095614	-
ACLY	P53396	ATP-citrate synthase	ACLY_HUMAN	3.79e-23	47	17	41866916	41930542	-
ACO1	P21399	Cytoplasmic aconitate hydratase	ACOHC_HUMAN	2.61e-15	48	9	32384603	32450836	+
ACO2	Q99798	"Aconitate hydratase, mitochondrial"	ACON_HUMAN	3.79e-23	50	22	41469125	41528989	+
ACOT1	Q86TX2	Acyl-coenzyme A thioesterase 1	ACOT1_HUMAN	3.18e-13	641371	14	73493234	73543799	+
ACOT11	Q8WXI4	Acyl-coenzyme A thioesterase 11	ACO11_HUMAN	0.00639331	26027	1	54548134	54634744	+
ACOT13	Q9NPJ3	Acyl-coenzyme A thioesterase 13	ACO13_HUMAN	3.79e-23	55856	6	24667035	24705069	+
ACOT7	O00154	Cytosolic acyl coenzyme A thioester hydrolase	BACH_HUMAN	4.86e-19	11332	1	6264272	6393766	-
ACOT8	O14734	Acyl-coenzyme A thioesterase 8	ACOT8_HUMAN	0.000102137	10005	20	45841721	45857409	-
ACOT9	Q9Y305	"Acyl-coenzyme A thioesterase 9, mitochondrial"	ACOT9_HUMAN	1.37e-14	23597	X	23703660	23743290	-
ACOX1	Q15067	Peroxisomal acyl-coenzyme A oxidase 1	ACOX1_HUMAN	2.59e-21	51	17	75941507	75979434	-
ACOX2	Q99424	Peroxisomal acyl-coenzyme A oxidase 2	ACOX2_HUMAN	3e-20	8309	3	58505136	58537348	-
ACOX3	O15254	Peroxisomal acyl-coenzyme A oxidase 3	ACOX3_HUMAN	2.43e-12	8310	4	8366263	8440725	-
ACP1	P24666	Low molecular weight phosphotyrosine protein phosphatase	PPAC_HUMAN	4.87e-10	52	2	264140	278283	+
ACP2	P11117	Lysosomal acid phosphatase	PPAL_HUMAN	5.24e-17	53	11	47239302	47248847	-
ACP3	P15309	Prostatic acid phosphatase	PPAP_HUMAN	2.08e-13					
ACP5	P13686	Tartrate-resistant acid phosphatase type 5	PPA5_HUMAN	0.000279134	54	19	11574660	11578986	-
ACP7	Q6ZNF0	Acid phosphatase type 7	ACP7_HUMAN	6.32e-05					
ACSBG1	Q96GR2	Long-chain-fatty-acid--CoA ligase ACSBG1	ACBG1_HUMAN	4.83e-05	23205	15	78170845	78234707	-
ACSF2	Q96CM8	"Medium-chain acyl-CoA ligase ACSF2, mitochondrial"	ACSF2_HUMAN	1.75e-14	80221	17	50426158	50474845	+
ACSF3	Q4G176	"Malonate--CoA ligase ACSF3, mitochondrial"	ACSF3_HUMAN	6.15e-05	197322	16	89093809	89155846	+
ACSL1	P33121	Long-chain-fatty-acid--CoA ligase 1	ACSL1_HUMAN	3.79e-23	2180	4	184755595	184826114	-
ACSL3	O95573	Fatty acid CoA ligase Acsl3	ACSL3_HUMAN	2.22e-06	2181	2	222860984	222943401	+
ACSL4	O60488	Long-chain-fatty-acid--CoA ligase 4	ACSL4_HUMAN	2.65e-14	2182	X	109641335	109733392	-
ACSL5	Q9ULC5	Long-chain-fatty-acid--CoA ligase 5	ACSL5_HUMAN	4.87e-09	51703	10	112374158	112428380	+
ACSM3	Q53FZ2	"Acyl-coenzyme A synthetase ACSM3, mitochondrial"	ACSM3_HUMAN	0.000304733	6296	16	20763990	20797157	+
ACSM6	Q6P461	"Acyl-coenzyme A synthetase ACSM6, mitochondrial"	ACSM6_HUMAN	0.000768832	142827	10	95194200	95228929	+
ACSS1	Q9NUB1	"Acetyl-coenzyme A synthetase 2-like, mitochondrial"	ACS2L_HUMAN	2.06e-11	84532	20	25006230	25058182	-
ACSS2	Q9NR19	"Acetyl-coenzyme A synthetase, cytoplasmic"	ACSA_HUMAN	1.3e-07	55902	20	34874942	34927966	+
ACSS3	Q9H6R3	"Acyl-CoA synthetase short-chain family member 3, mitochondrial"	ACSS3_HUMAN	8.49e-07	79611	12	81078018	81257795	+
ACTA1	P68133	"Actin, alpha skeletal muscle"	ACTS_HUMAN	6.85e-12	58	1	229431245	229434096	-
ACTA2	P62736	"Actin, aortic smooth muscle"	ACTA_HUMAN	2.08e-17	59	10	88935074	88991390	-
ACTB;ACTG1	P60709;P63261	"Actin, cytoplasmic 1;Actin, cytoplasmic 2"	ACTB_HUMAN;ACTG_HUMAN	2.32e-13					
ACTBL2	Q562R1	Beta-actin-like protein 2	ACTBL_HUMAN	1.28e-05	345651	5	57480016	57482809	-
ACTL6A	O96019	Actin-like protein 6A	ACL6A_HUMAN	3.08e-12	86	3	179562880	179588405	+
ACTN1	P12814	Alpha-actinin-1	ACTN1_HUMAN	4.52e-17	87	14	68874123	68979366	-
ACTN2	P35609	Alpha-actinin-2	ACTN2_HUMAN	3.54e-17	88	1	236686454	236764631	+
ACTN3	Q08043	Alpha-actinin-3	ACTN3_HUMAN	2.65e-05	89	11	66546395	66563329	+
ACTN4	O43707	Alpha-actinin-4	ACTN4_HUMAN	3.79e-23	81	19	38647616	38730531	+
ACTR10	Q9NZ32	Actin-related protein 10	ARP10_HUMAN	0.000603677	55860	14	58200115	58235636	+
ACTR1A	P61163	Alpha-centractin	ACTZ_HUMAN	1.4e-15	10121	10	102479229	102502755	-
ACTR1B	P42025	Beta-centractin	ACTY_HUMAN	3.21e-05	10120	2	97655939	97664098	-
ACTR2	P61160	Actin-related protein 2	ARP2_HUMAN	1.03e-16	10097	2	65227695	65271253	+
ACTR3	P61158	Actin-related protein 3	ARP3_HUMAN	3.21e-17	10096	2	113889934	113961554	+
ACY1	Q03154	Aminoacylase-1	ACY1_HUMAN	9.07e-09	95	3	51983284	51989202	+
ACYP1	P07311	Acylphosphatase-1	ACYP1_HUMAN	2.89e-21	97	14	75053221	75069483	-
ACYP2	P14621	Acylphosphatase-2	ACYP2_HUMAN	3.66e-05	98	2	54115273	54305300	+
ADA	P00813	Adenosine deaminase	ADA_HUMAN	6.02e-07	100	20	44619522	44652233	-
ADA2	Q9NZK5	Adenosine deaminase 2	ADA2_HUMAN	2.79e-05					
ADAM10	O14672	Disintegrin and metalloproteinase domain-containing protein 10	ADA10_HUMAN	3.79e-23	102	15	58595204	58749978	-
ADAM17	P78536	Disintegrin and metalloproteinase domain-containing protein 17	ADA17_HUMAN	2.07e-06	6868	2	9489263	9555788	-
ADAMTS13	Q76LX8	A disintegrin and metalloproteinase with thrombospondin motifs 13	ATS13_HUMAN	0.00679229	11093	9	133414339	133459403	+
ADAMTSL5	Q6ZMM2	ADAMTS-like protein 5	ATL5_HUMAN	0.004502127	339366	19	1505018	1513189	-
ADAR	P55265	Double-stranded RNA-specific adenosine deaminase	DSRAD_HUMAN	1.06e-19	103	1	154582057	154628013	-
ADARB1	P78563	Double-stranded RNA-specific editase 1	RED1_HUMAN	8.21e-05	104	21	45074578	45226563	+
ADD1	P35611	Alpha-adducin	ADDA_HUMAN	2.09e-17	118	4	2843727	2930076	+
ADD2	P35612	Beta-adducin	ADDB_HUMAN	6.35e-09	119	2	70661202	70768243	-
ADD3	Q9UEY8	Gamma-adducin	ADDG_HUMAN	3.79e-23	120	10	109996365	110135565	+
ADGRA2	Q96PE1	Adhesion G protein-coupled receptor A2	AGRA2_HUMAN	2.66e-05	25960	8	37796883	37843986	+
ADGRE2	Q9UHX3	Adhesion G protein-coupled receptor E2	AGRE2_HUMAN	0.000655975	30817	19	14724170	14778541	-
ADGRE3	Q9BY15	Adhesion G protein-coupled receptor E3	AGRE3_HUMAN	0.000375255	84658	19	14619117	14674918	-
ADGRE5	P48960	Adhesion G protein-coupled receptor E5	AGRE5_HUMAN	3.79e-23	976	19	14381144	14408725	+
ADGRG1	Q9Y653	Adhesion G-protein coupled receptor G1	AGRG1_HUMAN	0.003879633	9289	16	57619535	57665039	+
ADGRG3	Q86Y34	Adhesion G protein-coupled receptor G3	AGRG3_HUMAN	0.000564899	222487	16	57668192	57689378	+
ADGRG6	Q86SQ4	Adhesion G-protein coupled receptor G6	AGRG6_HUMAN	0.000181784	57211	6	142301919	142446266	+
ADH1B	P00325	All-trans-retinol dehydrogenase [NAD(+)] ADH1B	ADH1B_HUMAN	4.75e-16	125	4	99306387	99321442	-
ADH5	P11766	Alcohol dehydrogenase class-3	ADHX_HUMAN	1.67e-21	128	4	99070978	99088788	-
ADH7	P40394	All-trans-retinol dehydrogenase [NAD(+)] ADH7	ADH7_HUMAN	0.002202575	131	4	99412261	99435510	-
ADI1	Q9BV57	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	MTND_HUMAN	1.17e-16	55256	2	3497919	3519579	-
ADIPOQ	Q15848	Adiponectin	ADIPO_HUMAN	3.79e-23	9370	3	186842668	186858463	+
ADIRF	Q15847	Adipogenesis regulatory factor	ADIRF_HUMAN	1.06e-09	10974	10	86968431	86970909	+
ADK	P55263	Adenosine kinase	ADK_HUMAN	1.55e-08	132	10	74151185	74709303	+
ADNP	Q9H2P0	Activity-dependent neuroprotector homeobox protein	ADNP_HUMAN	0.000865115	23394	20	50888918	50930990	-
ADO	Q96SZ5	2-aminoethanethiol dioxygenase	AEDO_HUMAN	0.009052599	84890	10	62804756	62808479	+
ADPGK	Q9BRR6	ADP-dependent glucokinase	ADPGK_HUMAN	0.00096337	83440	15	72751294	72783785	-
ADPRH	P54922	ADP-ribosylhydrolase ARH1	ADPRH_HUMAN	2.05e-05	141	3	119579433	119589945	+
ADPRS	Q9NX46	ADP-ribosylhydrolase ARH3	ADPRS_HUMAN	5.39e-20					
ADRM1	Q16186	Proteasomal ubiquitin receptor ADRM1	ADRM1_HUMAN	0.002294292	11047	20	62302056	62308862	+
ADSL	P30566	Adenylosuccinate lyase	PUR8_HUMAN	3.23e-14	158	22	40346500	40387408	+
ADSS1	Q8N142	Adenylosuccinate synthetase isozyme 1	PURA1_HUMAN	0.007220441					
ADSS2	P30520	Adenylosuccinate synthetase isozyme 2	PURA2_HUMAN	1.09e-20					
AEBP1	Q8IUX7	Adipocyte enhancer-binding protein 1	AEBP1_HUMAN	1.58e-16	165	7	44104320	44114565	+
AFAP1	Q8N556	Actin filament-associated protein 1	AFAP1_HUMAN	0.000111324	60312	4	7758713	7939926	-
AFAP1L2	Q8N4X5	Actin filament-associated protein 1-like 2	AF1L2_HUMAN	0.000393652	84632	10	114280730	114405143	-
AFDN	P55196	Afadin	AFAD_HUMAN	3.67e-13					
AFG3L2	Q9Y4W6	AFG3-like protein 2	AFG32_HUMAN	9.36e-17	10939	18	12328944	12377309	-
AFM	P43652	Afamin	AFAM_HUMAN	7.71e-11	173	4	73481745	73504001	+
AFMID	Q63HM1	Kynurenine formamidase	KFA_HUMAN	0.002053635	125061	17	78185102	78207701	+
AGA	P20933	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	ASPG_HUMAN	9.27e-15	175	4	177430774	177442503	-
AGAP3	Q96P47	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3"	AGAP3_HUMAN	5.86e-06	116988	7	151085831	151144436	+
AGFG1	P52594	Arf-GAP domain and FG repeat-containing protein 1	AGFG1_HUMAN	8.89e-10	3267	2	227472172	227561222	+
AGFG2	O95081	Arf-GAP domain and FG repeat-containing protein 2	AGFG2_HUMAN	0.000273837	3268	7	100539211	100568220	+
AGK	Q53H12	"Acylglycerol kinase, mitochondrial"	AGK_HUMAN	5.23e-13	55750	7	141551278	141654409	+
AGL	P35573	Glycogen debranching enzyme	GDE_HUMAN	9.76e-16	178	1	99850077	99924023	+
AGO1	Q9UL18	Protein argonaute-1	AGO1_HUMAN	3.79e-23	26523	1	35869791	35924298	+
AGO2	Q9UKV8	Protein argonaute-2	AGO2_HUMAN	2.36e-09	27161	8	140520156	140642326	-
AGO3	Q9H9G7	Protein argonaute-3	AGO3_HUMAN	0.005691776	192669	1	35923403	36056747	+
AGPAT1	Q99943	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha	PLCA_HUMAN	0.004314001	10554	6	32168206	32178111	-
AGPAT2	O15120	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	PLCB_HUMAN	0.000188586	10555	9	136673143	136687459	-
AGPAT3	Q9NRZ7	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma	PLCC_HUMAN	9.69e-05	56894	21	43865160	43987594	+
AGPS	O00116	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	ADAS_HUMAN	3.64e-08	8540	2	177392743	177543836	+
AGR2	O95994	Anterior gradient protein 2 homolog	AGR2_HUMAN	6.04e-07	10551	7	16791811	16805114	-
AGRN	O00468	Agrin	AGRIN_HUMAN	9.72e-18	375790	1	1020101	1056119	+
AGT	P01019	Angiotensinogen	ANGT_HUMAN	7.89e-20	183	1	230702523	230714590	-
AGTRAP	Q6RW13	Type-1 angiotensin II receptor-associated protein	ATRAP_HUMAN	1.38e-11	57085	1	11735474	11750771	+
AHCTF1	Q8WYP5	Protein ELYS	ELYS_HUMAN	1.04e-10	25909	1	246839098	246931978	-
AHCY	P23526	Adenosylhomocysteinase	SAHH_HUMAN	3.79e-23	191	20	34234840	34311976	-
AHCYL1	O43865	S-adenosylhomocysteine hydrolase-like protein 1	SAHH2_HUMAN	7.05e-06	10768	1	109984741	110023742	+
AHCYL2	Q96HN2	Adenosylhomocysteinase 3	SAHH3_HUMAN	4.5e-12	23382	7	129225014	129430211	+
AHNAK	Q09666	Neuroblast differentiation-associated protein AHNAK	AHNK_HUMAN	3.79e-23	79026	11	62433542	62546860	-
AHNAK2	Q8IVF2	Protein AHNAK2	AHNK2_HUMAN	3.79e-23	113146	14	104937253	104978357	-
AHR	P35869	Aryl hydrocarbon receptor	AHR_HUMAN	2.84e-07	196	7	17298652	17346151	+
AHSA1	O95433	Activator of 90 kDa heat shock protein ATPase homolog 1	AHSA1_HUMAN	2.24e-07	10598	14	77457875	77469472	+
AHSG	P02765	Alpha-2-HS-glycoprotein	FETUA_HUMAN	3.67e-16	197	3	186613061	186621318	+
AHSP	Q9NZD4	Alpha-hemoglobin-stabilizing protein	AHSP_HUMAN	1.28e-14	51327	16	31527852	31528803	+
AIDA	Q96BJ3	"Axin interactor, dorsalization-associated protein"	AIDA_HUMAN	8.33e-18	64853	1	222668013	222712901	-
AIF1	P55008	Allograft inflammatory factor 1	AIF1_HUMAN	4.62e-10	199	6	31615192	31617021	+
AIF1L	Q9BQI0	Allograft inflammatory factor 1-like	AIF1L_HUMAN	0.00043463	83543	9	131096476	131123152	+
AIFM1	O95831	"Apoptosis-inducing factor 1, mitochondrial"	AIFM1_HUMAN	3.79e-23	9131	X	130129362	130165887	-
AIFM2	Q9BRQ8	Ferroptosis suppressor protein 1	FSP1_HUMAN	0.000370716	84883	10	70112267	70132934	-
AIMP1	Q12904	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	AIMP1_HUMAN	1.34e-18	9255	4	106315610	106349225	+
AIMP2	Q13155	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	AIMP2_HUMAN	1.32e-09	7965	7	6009251	6023834	+
AIP	O00170	AH receptor-interacting protein	AIP_HUMAN	1.02e-21	9049	11	67483029	67491108	+
AJUBA	Q96IF1	LIM domain-containing protein ajuba	AJUBA_HUMAN	3.92e-11	84962	14	22971174	22982642	-
AK1	P00568	Adenylate kinase isoenzyme 1	KAD1_HUMAN	7.1e-12	203	9	127866480	127877743	-
AK2	P54819	"Adenylate kinase 2, mitochondrial"	KAD2_HUMAN	8.9e-14	204	1	33007940	33036911	-
AK3	Q9UIJ7	"GTP:AMP phosphotransferase AK3, mitochondrial"	KAD3_HUMAN	1.25e-16	50808	9	4709556	4742043	-
AK4	P27144	"Adenylate kinase 4, mitochondrial"	KAD4_HUMAN	1.37e-14	205	1	65147549	65232145	+
AKAP12	Q02952	A-kinase anchor protein 12	AKA12_HUMAN	5.49e-12	9590	6	151239999	151358559	+
AKAP13	Q12802	A-kinase anchor protein 13	AKP13_HUMAN	8.88e-10	11214	15	85380616	85749358	+
AKAP2	Q9Y2D5	A-kinase anchor protein 2	AKAP2_HUMAN	7.97e-05	11217	9	110048598	110172512	+
AKAP8	O43823	A-kinase anchor protein 8	AKAP8_HUMAN	7.82e-05	10270	19	15353521	15379828	-
AKAP8L	Q9ULX6	A-kinase anchor protein 8-like	AKP8L_HUMAN	0.002108878	26993	19	15380048	15419121	-
AKR1A1	P14550	Aldo-keto reductase family 1 member A1	AK1A1_HUMAN	5.24e-23	10327	1	45550783	45570051	+
AKR1B1	P15121	Aldo-keto reductase family 1 member B1	ALDR_HUMAN	8.61e-09	231	7	134442351	134459136	-
AKR1B10	O60218	Aldo-keto reductase family 1 member B10	AK1BA_HUMAN	3.25e-06	57016	7	134527592	134541414	+
AKR1C1	Q04828	Aldo-keto reductase family 1 member C1	AK1C1_HUMAN	8.62e-10	1645	10	4963262	4977966	+
AKR1C2	P52895	Aldo-keto reductase family 1 member C2	AK1C2_HUMAN	3.76e-05	1646	10	4987775	5018033	-
AKR1C3	P42330	Aldo-keto reductase family 1 member C3	AK1C3_HUMAN	4.35e-21	8644	10	5048766	5107686	+
AKR7A2	O43488	Aflatoxin B1 aldehyde reductase member 2	ARK72_HUMAN	7.53e-19	8574	1	19302708	19312146	-
ALAD	P13716	Delta-aminolevulinic acid dehydratase	HEM2_HUMAN	2.32e-08	210	9	113386312	113401338	-
ALB	P02768	Albumin	ALBU_HUMAN	3.79e-23	213	4	73404255	73421412	+
ALCAM	Q13740	CD166 antigen	CD166_HUMAN	4.1e-09	214	3	105366713	105576913	+
ALDH16A1	Q8IZ83	Aldehyde dehydrogenase family 16 member A1	A16A1_HUMAN	9.43e-22	126133	19	49453216	49471050	+
ALDH18A1	P54886	Delta-1-pyrroline-5-carboxylate synthase	P5CS_HUMAN	9e-16	5832	10	95605929	95656810	-
ALDH1A1	P00352	Aldehyde dehydrogenase 1A1	AL1A1_HUMAN	6.85e-22	216	9	72900662	72953317	-
ALDH1A2	O94788	Retinal dehydrogenase 2	AL1A2_HUMAN	1.53e-10	8854	15	57953424	58065923	-
ALDH1A3	P47895	Aldehyde dehydrogenase family 1 member A3	AL1A3_HUMAN	0.000464196	220	15	100879692	100916626	+
ALDH1B1	P30837	"Aldehyde dehydrogenase X, mitochondrial"	AL1B1_HUMAN	3.79e-23	219	9	38392664	38398665	+
ALDH1L1	O75891	Cytosolic 10-formyltetrahydrofolate dehydrogenase	AL1L1_HUMAN	2.12e-15	10840	3	126103561	126181526	-
ALDH1L2	Q3SY69	Mitochondrial 10-formyltetrahydrofolate dehydrogenase	AL1L2_HUMAN	5.33e-16	160428	12	105019784	105084583	-
